Ranking,Country,Gold,Silver,Bronze,Total,Latitude,Longitude
1,United States,46,37,38,121,38.8951118,-77.0363658
2,United Kingdom,27,23,17,67,51.5112139,-0.1198244
3,China,26,18,26,70,39.90403,116.407526
4,Russia,19,18,19,56,55.7512419,37.6184217
5,Germany,17,10,15,42,52.519171,13.4060912
6,Japan,12,8,21,41,35.689568,139.691717
7,France,10,18,14,42,48.856614,2.3522219
8,Korea,9,3,9,21,37.566535,126.9779692
9,Italy,8,12,8,28,41.8929163,12.4825199
10,Australia,8,11,10,29,-35.3082355,149.1242241
11,Netherlands,8,7,4,19,52.3702157,4.8951679
12,Hungary,8,3,4,15,47.497912,19.040235
13,Brazil,7,6,6,19,-15.7801482,-47.9291698
14,Spain,7,4,6,17,40.4167754,-3.7037902
15,Kenya,6,6,1,13,-1.2920659,36.8219462
16,Jamaica,6,3,2,11,17.992731,-76.7920089
17,Croatia,5,3,2,10,45.8130293,15.9778949
18,Cuba,5,2,4,11,23.1168,-82.388557
19,New Zealand,4,9,5,18,-41.2864603,174.776236
20,Canada,4,3,15,22,45.4215296,-75.6971931
21,Uzbekistan,4,2,7,13,41.2666667,69.2166667
22,Kazakhstan,3,5,9,17,51.1666667,71.4333333
23,Columbia,3,2,3,8,4.5980556,-74.0758333
24,Switzerland,3,2,2,7,46.9479222,7.4446085
25,Iran,3,1,4,8,35.696216,51.422945
26,Greece,3,1,2,6,37.9837155,23.7293097
27,Argentina,3,1,0,4,-34.6037232,-58.3815931
28,Denmark,2,6,7,15,55.6760968,12.5683371
29,Sweden,2,6,3,11,59.32893,18.06491
30,South Africa,2,6,2,10,-25.73134,28.21837
31,Ukraine,2,5,4,11,50.4501,30.5234
32,Serbia,2,4,2,8,44.8205556,20.4622222
33,Poland,2,3,6,11,52.2296756,21.0122287
34,North Korea,2,3,2,7,39.031859,125.753765
35,Belgium,2,2,2,6,50.8503396,4.3517103
35,Thailand,2,2,2,6,13.7278956,100.5241235
37,Slovakia,2,2,0,4,48.1458923,17.1071373
38,Georgia,2,1,4,7,41.709981,44.792998
39,Azerbaijan,1,7,10,18,40.4349504,49.8676232
40,Belarus,1,4,4,9,53.9,27.5666667
41,Turkey,1,3,4,8,39.92077,32.85411
42,Armenia,1,3,0,4,40.183333,44.516667
43,Czech Republic,1,2,7,10,50.0755381,14.4378005
44,Ethiopia,1,2,5,8,9.022736,38.746799
45,Slovenia,1,2,1,4,46.0564509,14.5080702
46,Indonesia,1,2,0,3,-6.211544,106.845172
47,Romania,1,1,3,5,44.4325,26.1038889
48,Bahrain,1,1,0,2,26.2166667,50.5833333
48,Vietnam,1,1,0,2,21.0333333,105.85
50,Taiwan,1,0,2,3,25.091075,121.5598345
51,Bahamas,1,0,1,2,25.06,-77.345
51,Independent Olympic Athletes,1,0,1,2,29.3697222,47.9783333
51,Ivory Coast,1,0,1,2,6.8166667,-5.2833333
54,Fiji,1,0,0,1,-18.1416,178.4419
54,Jordan,1,0,0,1,31.9565783,35.9456951
54,Kosovo,1,0,0,1,42.672421,21.164539
54,Puerto Rico,1,0,0,1,18.20017,-66.664513
54,Singapore,1,0,0,1,1.2800945,103.8509491
54,Tajikistan,1,0,0,1,38.5366667,68.78
60,Malaysia,0,4,1,5,3.139003,101.686855
61,Mexico,0,3,2,5,19.4326077,-99.133208
62,Algeria,0,2,0,2,36.752887,3.042048
62,Ireland,0,2,0,2,53.3498053,-6.2603097
64,Lithuania,0,1,3,4,54.6871555,25.2796514
65,Bulgaria,0,1,2,3,42.6978388,23.3216697
65,Venezuela,0,1,2,3,10.491016,-66.902061
67,India,0,1,1,2,28.635308,77.22496
67,Mongolia,0,1,1,2,47.921378,106.90554
69,Burundi,0,1,0,1,-3.376217,29.359349
69,Grenada,0,1,0,1,12.053532,-61.749684
69,Niger,0,1,0,1,13.512668,2.112516
69,Philippines,0,1,0,1,14.5995124,120.9842195
69,Qatar,0,1,0,1,25.280282,51.522476
74,Norway,0,0,4,4,59.9138688,10.7522454
75,Egypt,0,0,3,3,30.0444196,31.2357116
75,Tunisia,0,0,3,3,36.81881,10.16596
77,Israel,0,0,2,2,31.768319,35.21371
78,Austria,0,0,1,1,48.2081743,16.3738189
78,Dominican Republic,0,0,1,1,18.5,-69.9833333
78,Estonia,0,0,1,1,59.4369608,24.7535746
78,Finland,0,0,1,1,60.169845,24.9385508
78,Moldova,0,0,1,1,47.026859,28.841551
78,Morocco,0,0,1,1,34.015049,-6.83272
78,Nigeria,0,0,1,1,9.0666667,7.4833333
78,Portugal,0,0,1,1,38.7252993,-9.1500364
78,Republic of Trinidad and Tobago,0,0,1,1,12.053532,-61.749684
78,United Arab Emirates,0,0,1,1,24.4666667,54.3666667
